"","ID","LIMIT_BAL","SEX","EDUCATION","MARRIAGE","AGE","PAY_0","PAY_2","PAY_3","PAY_4","PAY_5","PAY_6","BILLPCA1","BILLPCA2","PAY_AMT1","PAY_AMT2","PAY_AMT3","PAY_AMT4","PAY_AMT5","PAY_AMT6","default.payment.next.month"
"20",20,180000,"2","1","2",29,1,-2,-2,-2,-2,-2,-110707.185535647,-1602.24528196806,0,0,0,0,0,0,"0"
"21",21,130000,"2","3","2",39,0,0,0,0,0,-1,-57885.688698214,21014.9380728791,3000,1537,1000,2000,930,33764,"0"
"22",22,120000,"2","2","1",39,-1,-1,-1,-1,-1,-1,-109945.013360359,-1725.7067185698,316,316,0,632,316,0,"1"
"23",23,70000,"2","2","2",26,2,0,0,2,2,2,-3112.40098235756,-15209.2745551845,2007,3582,0,3601,0,1820,"1"
"24",24,450000,"2","1","1",40,-2,-2,-2,-2,-2,-2,-98805.2207960107,9015.51072832202,19428,1473,560,0,0,1128,"1"
"25",25,90000,"1","1","2",23,0,0,0,-1,0,0,-98031.9870104886,-4743.76672950151,5757,0,5398,1200,2045,2000,"0"
"26",26,50000,"1","3","2",23,0,0,0,0,0,0,-22273.6995013352,7338.13874716635,1973,1426,1001,1432,1062,997,"0"
"27",27,60000,"1","1","2",27,1,-2,-1,-1,-1,-1,-110874.867817515,-1755.18390360178,0,1000,0,500,0,1000,"1"
"28",28,50000,"2","3","2",30,0,0,0,0,0,0,-65070.2186035502,-4824.77137099784,1300,1300,1000,1500,1000,1012,"0"
"29",29,50000,"2","3","1",47,-1,-1,-1,-1,-1,-1,-95280.574645532,-14035.8116263687,3415,3421,2044,30430,257,0,"0"
"30",30,50000,"1","1","2",26,0,0,0,0,0,0,-71057.3150890239,-4188.70226655603,1500,1500,1000,1000,1600,0,"0"
"31",31,230000,"2","1","2",27,-1,-1,-1,-1,-1,-1,-65496.2014168611,-14002.5104028766,17270,13281,15339,14307,37292,0,"0"
"32",32,50000,"1","2","2",33,2,0,0,0,0,0,-48470.0641847439,-59.2799744207896,1718,1500,1000,1000,1000,716,"1"
"33",33,1e+05,"1","1","2",32,0,0,0,0,0,0,91707.3729486958,-6588.45027971732,3023,3511,3302,3204,3200,2504,"0"
"34",34,5e+05,"2","2","1",54,-2,-2,-2,-2,-2,-2,-61627.2975086204,-30997.2338746955,4152,22827,7521,71439,981,51582,"0"
"35",35,5e+05,"1","1","1",58,-2,-2,-2,-2,-2,-2,-85849.293635079,6737.71666307282,5006,31178,3180,0,5293,768,"0"
"36",36,160000,"1","1","2",30,-1,-1,-2,-2,-2,-1,-99028.3134043306,16940.7103915415,131,396,396,565,792,0,"0"
"37",37,280000,"1","2","1",40,0,0,0,0,0,0,325184.891723687,-28151.0858811916,8026,8060,6300,6400,6400,6737,"0"
"38",38,60000,"2","2","2",22,0,0,0,0,0,-1,-96376.7905882892,13045.3443968556,1500,1518,2043,0,47671,617,"0"
"39",39,50000,"1","1","2",25,1,-1,-1,-2,-2,-2,-110362.608515023,-1296.78840818637,780,0,0,0,0,0,"1"
"40",40,280000,"1","1","2",31,-1,-1,2,-1,0,-1,-90515.2087984792,-13022.4689231368,9075,0,9976,8000,9525,781,"0"
"41",41,360000,"1","1","2",33,0,0,0,0,0,0,559805.238615515,-126058.389121007,10000,7000,6000,188840,28000,4000,"0"
"42",42,70000,"2","1","2",25,0,0,0,0,0,0,49172.892889169,-13003.238011644,3000,4500,4042,2500,2800,2500,"0"
"43",43,10000,"1","2","2",22,0,0,0,0,0,0,-101528.819067783,-3744.25484850923,1500,2927,1000,300,1000,500,"0"
"44",44,140000,"2","2","1",37,0,0,0,0,0,0,45192.325164712,-22828.0800540073,3000,3000,3000,4000,4000,3000,"0"
"45",45,40000,"2","1","2",30,0,0,0,2,0,0,-51496.2498866239,-14464.3048737966,3000,5000,0,2000,3000,0,"0"
"46",46,210000,"1","1","2",29,-2,-2,-2,-2,-2,-2,-110707.185535647,-1602.24528196806,0,0,0,0,0,0,"1"
"47",47,20000,"2","1","2",22,0,0,2,-1,0,0,-77685.5931690804,1925.59582220469,3000,0,16741,334,0,0,"1"
"48",48,150000,"2","5","2",46,0,0,-1,0,0,-2,-106400.932345358,1831.99523761351,1013,1170,0,0,0,0,"1"
"49",49,380000,"1","2","2",32,-1,-1,-1,-1,-1,-1,-63344.761676868,421.340195576835,21540,15138,24677,11851,11875,8251,"0"
"50",50,20000,"1","1","2",24,0,0,0,0,0,0,-63800.9191564328,-8010.95033958334,1318,1315,704,928,912,1069,"0"
"51",51,70000,"1","3","2",42,1,2,2,2,2,0,-17780.5375858677,-12075.0625308524,0,3100,2000,0,1500,1500,"1"
"52",52,1e+05,"2","3","3",43,0,0,0,0,0,0,-982.965006833821,12145.9881479647,2000,1606,1500,2000,1500,1000,"0"
"53",53,310000,"2","2","1",49,-2,-2,-2,-2,-2,-2,-92013.2680796851,4681.38144095516,7875,7600,11185,3544,464,0,"0"
"54",54,180000,"2","1","2",25,1,2,0,0,0,0,-5615.24302117216,-13874.4780286023,1300,2010,1762,1762,1790,1622,"0"
"55",55,150000,"2","1","2",29,2,0,0,0,0,0,-36875.4773596718,15051.6795188505,1600,1718,1049,1500,2000,5000,"0"
"56",56,5e+05,"2","1","1",45,-2,-2,-2,-2,-2,-2,-107227.793855089,-468.057409618632,3640,162,0,151,2530,0,"0"
"57",57,180000,"2","3","1",34,0,0,0,-1,-1,-1,-87240.2518696336,8442.60202479232,8500,1500,7500,679,9000,2000,"0"
"58",58,180000,"2","2","1",34,0,0,0,0,0,0,280550.612760446,5761.31757380861,8083,7296,5253,4814,4816,3800,"0"
"59",59,2e+05,"2","1","2",34,-1,3,2,2,2,2,-107953.577449713,-1582.95359543059,0,0,700,0,1200,0,"0"
"60",60,4e+05,"2","2","1",29,0,0,0,0,0,0,822101.148635596,-36138.8685809114,17000,15029,30000,12000,12000,23000,"0"
"61",61,5e+05,"2","3","1",28,0,0,0,0,0,0,-65369.6744210039,3560.07019758532,1516,1300,1000,1000,2000,2000,"1"
"62",62,70000,"1","2","1",39,0,0,0,0,0,-1,-5051.95384712835,59879.7654564309,4025,2095,1000,2000,3000,0,"0"
"63",63,50000,"1","1","2",29,2,2,2,2,2,2,-46855.442677454,-10046.2271455188,0,2700,0,2225,1200,0,"1"
"64",64,50000,"2","2","1",46,0,0,0,-2,-2,-2,-84968.9343256801,25719.0067153228,1000,0,0,0,0,0,"1"
"65",65,130000,"2","2","1",51,-1,-1,-2,-2,-1,-1,-109792.455848016,-2607.64715511861,0,0,0,2353,0,0,"0"
"66",66,2e+05,"1","1","1",57,-2,-2,-2,-1,2,2,94259.706936352,141998.852114133,0,0,8222,300,0,1000,"1"
"67",67,10000,"1","2","1",56,2,2,2,0,0,0,-101510.862453457,-3682.60366657157,2300,0,150,200,200,160,"1"
"68",68,210000,"2","1","2",30,2,-1,-1,-1,-1,-1,-107423.485626246,-4143.32399404168,300,1159,2280,300,4250,909,"0"
"69",69,130000,"2","3","2",29,1,-2,-2,-1,2,-1,-108929.649086608,-17371.0951220295,0,0,20161,0,7319,13899,"0"
"70",70,20000,"1","5","2",22,2,0,0,0,0,0,-73916.1019630305,3779.18641683821,0,1200,1000,500,1000,0,"0"
"71",71,80000,"1","1","2",31,-1,-1,-1,-1,-1,-1,-109753.317152658,-1619.9376172537,0,390,390,390,390,390,"0"
"72",72,320000,"1","2","2",29,2,2,2,2,2,2,36212.8703382887,-17756.107225926,2500,2500,0,4800,2400,1600,"1"
"73",73,2e+05,"2","2","1",32,-1,-1,-1,-1,2,-1,-99758.1738165065,894.50794834688,5818,15,9102,17,3165,1395,"0"
"74",74,290000,"2","1","2",37,1,-2,-1,-1,-1,-1,-108478.88591186,-2428.14499800196,0,3155,0,2359,0,0,"0"
"75",75,340000,"1","1","2",32,-1,-1,-1,-1,-1,-1,-56389.6257750748,-46416.4248556427,5713,23453,4314,80552,25949,2016,"0"
"76",76,20000,"1","2","2",24,0,0,2,0,0,0,-69693.2913167934,-7318.49966324137,2850,0,610,630,1500,0,"0"
"77",77,50000,"1","3","2",25,-1,0,0,0,0,0,-48659.0825469292,27392.4213692968,1759,1779,320,500,1000,1000,"0"
"78",78,3e+05,"2","1","1",45,-1,-1,-1,-1,-1,-1,-109997.14622205,-1662.5976368301,291,291,291,291,291,291,"0"
"79",79,30000,"2","2","2",22,0,0,0,0,0,0,-48698.0109495456,5318.7431986739,1686,1400,560,3000,1765,0,"1"
"80",80,240000,"2","2","2",44,1,-2,-2,-2,-2,-2,-110707.185535647,-1602.24528196806,0,0,0,0,0,0,"1"
"81",81,470000,"2","3","3",33,0,0,0,0,0,0,152080.772783337,116783.709139265,6400,7566,3000,960,1000,3000,"0"
"82",82,360000,"2","1","2",26,0,0,0,0,0,-1,4940.67913014052,-65522.8803418707,4796,3400,3100,146900,196,2963,"0"
"83",83,60000,"1","3","2",30,0,0,0,0,0,0,-51617.4231348613,915.499735677658,1576,1213,648,768,1140,0,"1"
"84",84,4e+05,"2","2","1",44,0,0,2,0,0,0,177724.160020428,12059.0835000237,10700,3,3050,3000,3200,2800,"0"
"85",85,50000,"2","3","2",49,0,0,0,0,0,0,-36280.8400136182,21728.3826516544,1676,1302,700,699,849,826,"0"
"86",86,160000,"1","2","2",33,0,0,0,0,0,0,159470.281638807,-28395.8668236229,4400,3547,80000,4500,4800,4500,"0"
"87",87,360000,"2","1","1",45,-1,-1,2,0,-1,-1,-109243.431657227,-1348.37464119443,1170,0,0,390,390,390,"1"
"88",88,160000,"2","2","2",32,0,0,0,0,0,-1,-97747.5260186223,-3004.06926282329,1147,2000,2000,0,766,2303,"0"
"89",89,130000,"2","1","1",35,0,0,0,-1,-1,-1,-11046.9826904038,86747.3405639518,40000,5000,1330,7095,1190,2090,"0"
"90",90,20000,"1","3","2",44,2,2,0,0,0,2,-86095.3312864262,-7329.11811328165,0,1651,1000,2000,0,1500,"0"
"91",91,2e+05,"1","1","1",53,2,2,2,2,2,2,239108.105338357,-40322.7327630182,6300,5500,5500,5500,5000,5000,"1"
"92",92,280000,"2","1","2",39,-1,-1,-1,0,0,-2,-104095.182695746,1827.63682275259,0,3968,0,0,0,0,"0"
"93",93,1e+05,"2","1","2",27,-2,-2,-2,-2,-2,-2,-109148.346950159,-534.129730381053,7555,0,0,0,0,0,"0"
"94",94,160000,"2","2","1",37,-1,-1,-1,-1,-1,-2,-108910.364073748,-649.084757949149,1602,840,840,0,0,7736,"0"
"95",95,60000,"2","2","2",23,0,0,0,0,0,0,-27565.5134372353,21818.718817348,1937,1301,682,690,816,835,"0"
"96",96,90000,"1","2","2",35,0,0,0,0,0,0,38907.0449900213,45842.505506706,3621,3597,1179,1112,1104,1143,"0"
"97",97,360000,"1","1","1",43,-1,-1,-1,-1,-1,0,-87959.6688902212,-14574.7142866475,8339,3394,12902,27000,0,68978,"0"
"98",98,150000,"1","1","2",27,0,0,0,0,0,0,86653.7593578532,2103.0941009109,4031,10006,3266,4040,1698,800,"0"
"99",99,50000,"2","3","1",22,0,0,0,0,0,0,-75699.6974675997,5614.23993049732,1411,1194,379,281,321,197,"0"
"100",100,20000,"1","2","1",38,0,0,0,0,0,-1,-71758.8419595433,4372.50517107265,1699,1460,626,1750,150,0,"1"
"101",101,140000,"1","1","2",32,-2,-2,-2,-2,-2,-2,-104822.832869066,1947.62974935021,10212,850,415,100,1430,0,"0"
"102",102,380000,"2","1","2",30,-2,-2,-1,0,0,0,-59393.4035571606,-40606.1288361079,223,33178,1171,1197,1250,5000,"0"
"103",103,480000,"1","1","1",63,0,0,0,2,2,0,1008815.2870243,-145102.890634298,16078,55693,17000,0,18000,24200,"0"
"104",104,50000,"2","3","2",22,0,0,0,0,0,0,-25433.4948175619,11022.7727124404,1767,1362,1002,840,995,904,"1"
"105",105,60000,"2","2","2",26,2,2,2,2,2,0,28482.3860561455,-13432.635808538,0,5000,2511,6,3000,3000,"0"
"106",106,70000,"2","2","2",24,-1,-1,-2,-2,-2,-1,-98843.2425246887,-12040.6087613381,0,0,0,0,26529,2000,"0"
"107",107,80000,"2","2","1",36,-1,-1,-1,-1,-1,-1,-103149.045298654,1154.32695893461,2861,3279,3319,1150,1150,1035,"0"
"108",108,350000,"1","1","2",52,-1,-1,-1,-1,-1,-1,-106445.505215446,-3697.12392301067,2272,722,867,1150,5263,5011,"0"
"109",109,130000,"1","2","2",38,0,0,0,-1,-1,-1,170950.10137914,49545.6225215963,10908,0,133657,4566,133841,4796,"0"
"110",110,360000,"1","2","1",35,1,-2,-2,-2,-2,-2,-110958.505292694,-1580.88345189661,0,0,0,0,0,0,"0"
"111",111,330000,"2","1","1",31,0,0,2,0,0,0,149373.224934072,-23582.474184759,9260,0,3593,4100,15794,0,"0"
"112",112,50000,"1","3","1",47,0,0,2,0,0,0,-73105.876133277,-8001.84786571572,2000,1000,1000,1000,1000,1000,"0"
"113",113,280000,"1","2","1",41,2,2,2,2,2,3,235657.482431845,-45460.4390158352,6500,0,14254,14850,0,5000,"0"
"114",114,1e+05,"2","1","2",24,0,0,0,0,0,0,24941.7023160172,-20531.0366175453,2000,2677,3076,5080,3000,2033,"0"
"115",115,50000,"1","2","2",41,0,0,0,0,0,0,-62339.7913454434,-6743.96890351976,1340,1305,700,718,724,684,"0"
"116",116,30000,"1","1","2",24,-1,2,0,0,3,2,-63148.9102891574,-9059.69825383308,0,1312,3000,0,1000,1000,"1"
"117",117,240000,"1","1","2",28,-1,-1,-1,-1,-1,-1,-107727.070067102,-3167.36308424149,326,326,5676,476,326,526,"0"
"118",118,80000,"1","2","2",26,2,0,0,0,0,0,-70708.421469328,-8293.6917538961,2000,1700,1000,1000,1000,1000,"1"
"119",119,4e+05,"1","2","1",34,-1,-1,-1,-1,-1,-1,-81120.209721323,1120.31688443859,9677,11867,7839,14837,7959,5712,"0"
"120",120,240000,"2","2","2",38,0,0,0,0,-1,-1,-20914.0683405288,35121.0168398992,2000,3000,3000,1307,1203,563,"0"
"121",121,50000,"1","3","2",37,2,2,2,3,2,2,6970.59345040351,-15807.3674299941,1000,4035,1000,1400,2800,0,"1"
"122",122,450000,"1","1","1",40,1,-2,-2,-2,-2,-2,-110707.185535647,-1602.24528196806,0,0,0,0,0,0,"1"
"123",123,110000,"2","1","1",48,1,-2,-2,-2,-2,-2,-110707.185535647,-1602.24528196806,0,0,0,0,0,0,"0"
"124",124,310000,"2","2","1",35,2,0,0,0,0,0,559240.858017139,30550.4260278505,13019,11128,8407,8599,6833,5987,"1"
"125",125,20000,"1","1","2",27,0,0,0,0,0,0,-64958.6550214314,-4177.26412637917,1404,1130,600,861,313,0,"0"
"126",126,20000,"1","2","2",23,1,-2,-2,-2,-2,-2,-110707.185535647,-1602.24528196806,0,0,0,0,0,0,"0"
"127",127,2e+05,"1","3","2",52,0,0,0,0,0,0,140467.997958331,-21192.5659050249,3568,3585,3602,3848,3669,3784,"0"
"128",128,180000,"1","1","1",36,0,0,0,0,0,0,164809.959858237,23542.8952367996,4655,2690,2067,2142,2217,1000,"1"
"129",129,50000,"1","2","1",51,0,0,0,0,0,0,-98566.9417610039,-5794.29581716184,1000,1066,1300,1500,1200,134,"1"
"130",130,60000,"1","3","1",55,3,2,2,0,0,0,-103.507493928673,25724.5561041501,2504,7,1200,1200,1100,1500,"0"
"131",131,30000,"2","1","2",23,1,-2,-2,-2,-1,-1,-97757.1310626195,-6110.62739821639,5645,3508,27,13771,5911,3024,"0"
"132",132,240000,"1","1","2",41,1,-1,-1,0,0,-1,-106082.312441565,-2168.4579880866,2622,3301,0,360,1737,924,"0"
"133",133,420000,"1","2","1",34,0,0,0,0,0,0,442853.464964673,3077.34086124611,9744,9553,7603,7830,7253,11326,"0"
"134",134,330000,"1","3","1",46,0,0,0,0,0,0,446186.911670057,-48713.5789039812,8210,8095,8025,8175,8391,8200,"0"
"135",135,30000,"2","2","2",22,0,0,0,0,0,0,-58619.7145248902,12086.1736895497,2000,1400,0,500,0,1560,"0"
"136",136,240000,"1","2","1",34,0,0,0,2,2,2,-79311.9819763639,-6960.92424708826,1500,1800,0,1000,0,327,"0"
"137",137,150000,"1","1","2",27,0,0,0,0,0,0,-54371.3880038531,-16966.0719227319,2500,3000,3000,3000,3500,5000,"0"
"138",138,210000,"2","2","1",33,0,0,0,0,0,0,-92887.7554690329,-1193.60002958672,1500,1500,1000,500,2000,546,"0"
"139",139,50000,"2","3","1",51,-1,-1,-1,-1,-2,-2,-107711.515377672,-626.693251346802,300,5880,0,0,0,0,"1"
"140",140,50000,"1","1","2",24,0,0,0,0,0,0,-22905.2271411104,26275.9689590452,2360,1700,1000,900,870,2130,"0"
"141",141,240000,"1","1","2",47,1,-2,-2,-2,-2,-2,-110707.185535647,-1602.24528196806,0,0,0,0,0,0,"1"
"142",142,180000,"1","2","2",28,-1,-1,-1,-1,-1,-1,-109096.822409222,-1013.77161682802,0,416,332,500,3500,832,"0"
"143",143,50000,"1","2","2",23,1,2,2,2,0,0,-70853.1268848696,-13717.8926342699,1000,10000,400,700,800,600,"0"
"144",144,170000,"1","2","2",29,-2,-2,-2,-2,-2,-2,-83283.153943699,-5454.23200159163,10000,10000,10000,9983,15863,10000,"0"
"145",145,20000,"1","1","2",29,-1,-1,-1,-1,0,-1,-99607.2089418258,1373.00322535941,15586,344,2340,4702,339,330,"0"
"146",146,50000,"1","1","2",28,0,0,0,0,0,3,-91545.6022991191,-8383.57506682627,1000,1500,2000,1583,1100,0,"0"
"147",147,170000,"2","2","2",27,0,0,0,0,0,0,-67319.6840807465,1180.08690471856,1661,1200,351,358,182,0,"1"
"148",148,2e+05,"1","1","2",34,1,2,0,0,0,0,219446.737851028,57213.0021620814,8000,5000,55500,5000,5000,8500,"0"
"149",149,80000,"2","2","1",23,1,2,3,2,0,0,-85637.8743822036,-4982.35686040667,1650,0,0,379,2091,1,"0"
"150",150,260000,"2","1","1",60,1,-2,-1,-1,-1,-1,-101824.913064044,-1914.10328412719,0,22500,0,969,1000,0,"0"
"151",151,140000,"1","2","1",32,0,0,0,0,2,0,58758.146112107,10363.4097223886,3455,3110,5000,0,2100,2602,"0"
"152",152,80000,"1","1","2",25,0,0,0,0,0,0,-5296.26577280761,880.147776131701,30000,3000,6000,8000,2000,14000,"0"
"153",153,350000,"1","1","2",41,1,-1,-1,-1,-1,-2,-108649.904280233,-442.323967417109,2906,1000,630,0,0,0,"0"
"154",154,280000,"2","2","1",56,0,0,0,0,0,0,285936.494981449,1973.48773401532,8042,6700,5137,1e+05,7000,6321,"0"
"155",155,30000,"2","3","2",26,0,0,0,0,0,0,-82560.1030239699,-8007.39449742821,1700,1500,1000,1500,1500,1500,"0"
"156",156,140000,"1","1","1",34,0,0,0,0,0,0,-22041.5338170446,-32527.9537116207,5000,5000,11885,5000,3000,5504,"0"
"157",157,2e+05,"2","1","2",37,0,0,0,0,0,0,124049.622491098,-10152.4257582308,4000,3250,3250,3500,3560,5000,"0"
"158",158,2e+05,"2","3","2",30,0,0,0,0,0,0,309202.64529002,24700.6869827184,7300,7108,7680,6200,5000,4500,"0"
"159",159,210000,"1","3","1",45,2,3,4,4,5,6,214082.229781947,-60459.6242070123,10478,10478,11078,11078,11678,10478,"1"
"160",160,50000,"1","3","1",57,3,2,0,0,0,0,-78327.0227139689,-5582.23036538887,0,1600,500,500,600,600,"0"
"161",161,30000,"1","1","2",41,2,2,2,2,2,0,-44785.8464012293,-9755.67889976233,3500,0,2200,0,1200,1250,"0"
"162",162,50000,"1","2","2",27,2,-1,-1,-1,-1,2,-109349.053563973,-1994.71339036768,390,780,216,864,0,390,"0"
"163",163,290000,"1","3","1",47,-1,-1,-1,-1,0,-1,-109198.738505709,-1340.03022372845,396,396,792,0,423,369,"0"
"164",164,250000,"2","1","1",34,0,0,2,0,0,0,262126.943022558,-43409.7402408026,17994,0,5469,5656,6811,3920,"0"
"165",165,60000,"2","2","1",46,0,0,0,0,0,0,-50002.8937621272,-11822.870144556,3000,1500,1500,1000,1500,1500,"0"
"166",166,110000,"2","1","2",27,0,0,0,0,0,0,111289.48393589,9947.1763505452,5500,3900,3000,2900,3000,2800,"0"
"167",167,370000,"1","1","2",50,-2,-2,-2,-2,-2,-2,-85120.4979344947,-4822.13815872171,15383,8204,15413,4792,13453,4699,"0"
"168",168,1e+05,"1","2","1",27,-1,2,2,0,0,0,23250.7690129376,79338.8395905298,3166,0,1330,1398,12,50000,"0"
"169",169,90000,"2","2","1",35,0,0,0,0,0,2,80348.4575859585,-31450.9753888404,3500,3500,3652,10000,4000,0,"0"
"170",170,50000,"2","2","2",22,0,0,0,0,0,0,-41002.4535855502,-7340.92707726152,1510,1442,982,1017,1277,567,"0"
"171",171,270000,"1","2","2",37,0,0,0,0,0,0,-36533.4032217826,2828.54081280865,5000,2000,3000,4000,3000,2000,"0"
"172",172,3e+05,"2","1","2",30,-1,-1,-1,-1,-1,-1,-105952.153811681,-2708.70987604732,3288,0,4340,2672,800,746,"0"
"173",173,50000,"2","2","2",22,-1,0,0,0,0,0,-88272.356574514,2661.32821293006,15000,1000,149,0,5000,10000,"0"
"174",174,50000,"2","1","2",24,1,-2,-2,-2,-2,-2,-115161.323947217,1591.62439041849,0,0,0,0,0,0,"1"
"175",175,360000,"1","1","2",29,1,-2,-1,-1,-2,-2,-110674.099666714,-1596.46073272587,0,77,0,0,0,0,"0"
"176",176,130000,"1","3","1",56,1,2,2,2,2,3,55673.5147280081,-22439.4863979259,3000,3000,3000,5500,0,0,"1"
"177",177,80000,"1","1","2",30,-2,-1,0,0,0,0,-104454.343830491,-2084.99804443172,504,500,1000,500,3500,0,"0"
"178",178,50000,"1","2","2",30,1,2,0,0,0,2,-18555.6488110283,18013.8348434227,0,1500,1000,2000,0,2000,"0"
"179",179,20000,"2","2","2",22,0,0,0,0,0,0,-76608.8703269935,-4240.89678189271,1212,1201,500,1500,1500,1000,"0"
"180",180,80000,"2","2","1",29,0,0,2,0,0,0,27237.5763828918,52494.3396901679,5800,1000,600,400,1000,0,"0"
"181",181,240000,"1","1","2",37,-1,-1,2,0,0,-1,-61862.877204781,-2122.01679158476,15000,0,2000,0,1256,65935,"0"
"182",182,80000,"2","3","2",35,0,-1,0,0,0,0,-56981.0541346732,10289.9017016223,12500,6500,3000,2000,3000,2000,"0"
"183",183,5e+05,"2","1","1",47,0,0,0,0,0,0,124759.43650633,-36388.3272610889,70010,30357,30000,20000,52183,20000,"0"
"184",184,60000,"2","2","1",24,0,0,0,0,0,0,-16631.1871897788,33195.1592356061,2500,1600,3000,1000,737,2000,"1"
"185",185,20000,"1","2","2",25,0,0,0,0,0,-1,-89112.9307741479,5008.4481371152,1200,1593,601,135,1824,0,"0"
"186",186,1e+05,"2","2","1",38,1,2,0,0,2,0,-73321.8643045813,-6850.41626773456,0,1600,1500,0,1000,1500,"1"
"187",187,360000,"2","1","2",32,1,-1,-1,-1,-1,-1,-43941.6305979061,-10233.9527450407,57087,5295,68454,13889,16250,38313,"0"
"188",188,2e+05,"2","3","2",47,2,2,2,2,2,2,370717.556572731,-36606.3110351911,8214,7000,6800,7134,0,6836,"1"
"189",189,130000,"2","2","1",34,1,-1,0,0,0,0,-88211.5807963002,-16056.1378206947,5396,5000,3500,501,1000,2000,"0"
"190",190,20000,"2","2","2",31,1,5,4,4,3,2,-59451.7590327573,-4842.06462569099,0,1000,0,0,760,0,"0"
"191",191,310000,"1","1","2",32,0,0,0,0,0,0,34095.0438454934,-6345.35261705279,10020,6031,10057,5028,5060,4223,"0"
"192",192,60000,"2","1","2",27,2,0,0,0,2,0,-58069.9312409575,-9090.67857023781,1342,1664,2000,0,900,846,"1"
"193",193,180000,"2","1","2",29,-1,-1,-1,-2,-1,0,-93133.5812345957,-11672.7340447781,199,0,0,17227,341,5114,"0"
"194",194,180000,"2","1","2",24,-1,-1,2,0,0,-2,-81179.8759228432,14041.8026425731,37867,0,200,0,0,0,"0"
"195",195,50000,"1","2","1",36,0,0,0,0,-1,-1,-73219.8420998102,32956.7792219977,2000,1000,2000,500,1000,20011,"0"
"196",196,50000,"2","1","2",24,1,2,2,2,2,2,-17947.7467226268,-12555.1988037314,1900,1400,1700,1532,1600,0,"1"
"197",197,150000,"2","2","1",34,-2,-2,-2,-2,-2,-2,-110131.424595321,-2398.13043506029,0,0,116,0,1500,0,"0"
"198",198,20000,"2","1","2",22,0,0,0,0,-1,0,-68529.6075453749,-2825.90102687474,1500,1032,541,20000,693,1000,"0"
"199",199,5e+05,"2","1","1",34,-2,-2,-2,-1,-1,-1,-108123.597614493,-2612.06986744594,138,2299,1251,1206,1151,15816,"0"
"200",200,30000,"2","3","2",22,1,2,2,0,0,0,-60237.7606958002,19319.700827967,1000,85,1714,104,0,0,"1"
"201",201,180000,"2","1","1",38,-2,-2,-2,-2,-2,-2,-110371.497433297,-1187.01316484336,0,0,0,0,0,0,"0"
